DATE;IBOV;DY_IBOV;SELIC
42451;51010,2;4.01;14.15
42452;49690,05;4.12;14.15
42453;49657,39;4.13;14.15
42457;50838,23;0.40;14.15
42458;51154,99;3.98;14.15
42459;51248,93;3.97;14.15
42460;50055,27;4.05;14.15
42461;50561,53;4.01;14.15
42464;48779,98;4.16;14.15
42465;49053,62;4.12;14.15
42466;48096,24;4.20;14.15
42467;48513,1;4.12;14.15
42468;50292,93;3.96;14.15
42471;50165,47;3.97;14.15
42472;52001,86;3.83;14.15
42473;53149,84;3.75;14.15
42474;52411,02;3.84;14.15
42475;53227,74;3.78;14.15
42478;52894,08;3.82;14.15
42479;53710,05;3.75;14.15
42480;53630,93;3.76;14.15
42482;52907,88;3.82;14.15
42485;51861,71;3.88;14.15
42486;53082,5;0.38;14.15
42487;54477,78;3.68;14.15
42488;54311,96;3.68;14.15
42489;53910,51;3.71;14.15
42492;53561,54;3.74;14.15
42493;52260,19;0.39;14.15
42494;52552,8;3.88;14.15
42495;51671,04;3.92;14.15
42496;51717,82;3.90;14.15
42499;50990,07;3.95;14.15
42500;53070,91;3.80;14.15
42501;52764,46;3.81;14.15
42502;53241,32;#VALUE!;14.15
42503;51804,31;3.84;14.15
42506;51802,92;3.80;14.15
42507;50839,45;3.87;14.15
42508;50561,7;3.89;14.15
42509;50132,53;0.39;14.15
42510;49722,75;3.96;14.15
42513;49330,42;4.04;14.15
42514;49345,19;4.04;14.15
42515;49482,86;4.00;14.15
42517;49051,49;4.04;14.15
42520;48964,34;4.04;14.15
42521;48471,71;4.09;14.15
42522;49012,65;4.07;14.15
42523;49887,24;4.00;14.15
42524;50619,5;3.94;14.15
42527;50431,8;3.95;14.15
42528;50487,86;3.95;14.15
42529;51629,29;0.39;14.15
42530;51118,46;3.90;14.15
42531;49422,16;4.04;14.15
42534;49660,79;4.03;14.15
42535;48648,29;4.12;14.15
42536;48914,74;4.09;14.15
42537;49411,62;4.05;14.15
42538;49533,84;4.05;14.15
42541;50329,36;3.97;14.15
42542;50837,8;3.93;14.15
42543;50156,3;3.98;14.15
42544;51559,82;3.87;14.15
42545;50105,26;3.99;14.15
42548;49245,53;0.40;14.15
42549;50006,56;3.98;14.15
42550;51001,91;3.91;14.15
42551;51526,93;3.87;14.15
42552;52233,04;3.81;14.15
42555;52568,66;3.79;14.15
42556;51842,27;3.80;14.15
42557;51901,81;0.38;14.15
42558;52014,66;3.58;14.15
42559;53140,74;3.47;14.15
42562;53960,11;3.39;14.15
42563;54256,41;3.37;14.15
42564;54598,29;0.34;14.15
42565;55480,87;0.33;14.15
42566;55578,24;3.30;14.15
42569;56484,21;3.29;14.15
42570;56698,06;3.29;14.15
